Date,County,Town,Village,VillageID,VillageLon,VillageLat,BI,BILv,HI,HILv,CI,CILv,LI,LILv,AI,Con100HH
2016/05/01,宜蘭縣,礁溪鄉,時潮村,1000205-008,121.8057927,24.8154675,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/01,宜蘭縣,礁溪鄉,三民村,1000205-010,121.7643219,24.80923838,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/01,台南市,中西區,文賢里,6703700-024,120.1908908,23.00242008,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/01,高雄市,楠梓區,建昌里,6400400-025,120.2913407,22.71354186,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/01,宜蘭縣,礁溪鄉,二龍村,1000205-007,121.7892073,24.81264379,0.000,0,0.000,0,,,0.000,0,0.0000,0.00
2016/05/01,高雄市,鳳山區,中和里,6401200-008,120.3466254,22.62658754,3.278,1,3.278,1,7.142,3,40.983,4,0.0000,3.27
2016/05/01,宜蘭縣,礁溪鄉,林美村,1000205-011,121.7373848,24.81875103,0.000,0,0.000,0,,,0.000,0,0.0000,0.00
2016/05/01,高雄市,小港區,二苓里,6401100-012,120.3527121,22.56448746,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,小港區,二苓里,6401100-012,120.3527121,22.56448746,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,小港區,大苓里,6401100-011,120.348594,22.56834631,3.030,1,3.030,1,3.846,2,25.757,3,0.0000,3.03
2016/05/02,雲林縣,麥寮鄉,橋頭村,1000913-009,120.2710467,23.79155672,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,旗津區,實踐里,6401000-007,120.2759941,22.60640606,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,雲林縣,斗六市,梅林里,1000901-024,120.5912773,23.70231552,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,雲林縣,斗六市,湖山里,1000901-025,120.6264155,23.69979017,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,旗津區,旗下里,6401000-001,120.2651675,22.61379118,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台南市,永康區,大橋里,6703100-005,120.2300002,23.01848475,3.921,1,1.960,1,28.571,7,15.686,3,0.0000,3.92
2016/05/02,台南市,永康區,烏竹里,6703100-007,120.2641988,23.04219092,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,三民區,安東里,6400500-046,120.3070969,22.64940322,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,鼓山區,寶樹里,6400200-023,120.2814492,22.6373527,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,鼓山區,寶樹里,6400200-023,120.2814492,22.6373527,6.000,2,4.000,2,13.636,4,30.000,3,0.0000,6.00
2016/05/02,台南市,永康區,勝利里,6703100-026,120.2325708,23.00359605,2.666,1,1.333,1,12.500,4,14.666,3,0.0000,2.66
2016/05/02,台南市,永康區,龍潭里,6703100-027,120.2661549,23.02946981,17.647,3,9.803,3,34.615,8,490.196,6,0.0000,17.64
2016/05/02,台南市,北區,振興里,6703400-007,120.2217485,23.00619482,2.000,1,2.000,1,9.090,3,12.000,3,0.0000,2.00
2016/05/02,台南市,北區,興北里,6703400-017,120.2122067,23.00592861,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,大寮區,永芳里,6401400-019,120.3991234,22.60923938,5.769,2,5.769,2,20.000,5,134.615,5,0.0000,5.76
2016/05/02,高雄市,大寮區,永芳里,6401400-019,120.3991234,22.60923938,5.769,2,5.769,2,20.000,5,0.000,0,0.0000,5.76
2016/05/02,高雄市,鳳山區,新興里,6401200-021,120.3629524,22.62699329,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,桃園市,八德區,茄苳里,6800800-011,121.2767286,24.96749351,4.000,1,4.000,2,25.000,6,4.000,2,0.0000,4.00
2016/05/02,桃園市,八德區,瑞興里,6800800-040,121.2915488,24.94064607,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,宜蘭縣,宜蘭市,小東里,1000201-021,121.7589421,24.76105057,0.000,0,0.000,0,,,0.000,0,0.0000,0.00
2016/05/02,宜蘭縣,宜蘭市,菜園里,1000201-022,121.7572438,24.76188435,0.000,0,0.000,0,,,0.000,0,0.0000,0.00
2016/05/02,嘉義縣,太保市,梅埔里,1001001-005,120.3432272,23.43699203,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,屏東縣,里港鄉,過江村,1001309-005,120.4958139,22.78639431,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,宜蘭縣,羅東鎮,維揚里,1000202-027,121.758503,24.67166184,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台東縣,台東市,復國里,1001401-025,121.1552824,22.75055014,1.923,1,1.923,1,0.497,1,0.000,0,0.0000,1.92
2016/05/02,花蓮縣,秀林鄉,文蘭村,1001511-006,121.3999998,23.91231969,0.000,0,0.000,0,,,0.000,0,0.0000,0.00
2016/05/02,台東縣,海端鄉,霧鹿村,1001412-002,121.0837652,23.1385228,4.000,1,4.000,2,16.666,5,0.000,0,0.0000,4.00
2016/05/02,花蓮縣,秀林鄉,銅門村,1001511-005,121.3932123,24.01210996,0.000,0,0.000,0,,,0.000,0,0.0000,0.00
2016/05/02,新竹縣,新埔鎮,上寮里,1000403-011,121.0521976,24.84308055,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,新竹市,東區,三民里,1001801-020,120.9781902,24.80795111,1.020,1,1.020,1,3.703,2,0.000,0,0.0000,1.02
2016/05/02,雲林縣,四湖鄉,新庄村,1000918-002,120.248486,23.64873645,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,雲林縣,四湖鄉,新庄村,1000918-002,120.248486,23.64873645,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,雲林縣,四湖鄉,新庄村,1000918-002,120.248486,23.64873645,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,宜蘭縣,羅東鎮,中山里,1000202-029,121.7687225,24.67522757,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,鳳山區,鎮北里,6401200-009,120.3710467,22.64142464,11.764,3,9.803,3,20.000,5,60.784,4,0.0000,11.76
2016/05/02,台南市,安平區,建平里,6703600-005,120.182809,22.99355968,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台南市,新化區,北勢里,6701800-011,120.2905943,23.05002581,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台南市,北區,國姓里,6703400-021,120.2082178,23.00752583,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台南市,南區,田寮里,6703300-008,120.19529,22.97665551,4.000,1,4.000,2,8.333,3,20.000,3,0.0000,4.00
2016/05/02,高雄市,仁武區,文武里,6401700-007,120.3539132,22.70555068,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,仁武區,文武里,6401700-007,120.3539132,22.70555068,4.000,1,0.000,0,20.000,5,0.000,0,0.0000,4.00
2016/05/02,高雄市,楠梓區,廣昌里,6400400-018,120.2863947,22.70760909,1.960,1,1.960,1,1.960,1,5.882,2,0.0000,1.96
2016/05/02,高雄市,大寮區,新厝里,6401400-012,120.4047307,22.56448007,6.000,2,6.000,2,14.285,4,150.000,5,0.0000,6.00
2016/05/02,高雄市,大寮區,新厝里,6401400-012,120.4047307,22.56448007,6.000,2,6.000,2,14.285,4,0.000,0,0.0000,6.00
2016/05/02,高雄市,楠梓區,東寧里,6400400-002,120.3295259,22.73324374,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,三民區,千北里,6400500-087,120.288926,22.63610652,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,彰化縣,和美鎮,還社里,1000703-008,120.5224454,24.123122,4.000,1,4.000,2,10.000,4,0.000,0,0.0000,4.00
2016/05/02,新北市,中和區,秀景里,6500300-030,121.5266859,24.99024584,0.000,0,0.000,0,,,0.000,0,0.0000,0.00
2016/05/02,桃園市,八德區,大忠里,6800800-021,121.3019076,24.95970591,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,桃園市,中壢區,月眉里,6800200-047,121.1863577,25.00640365,5.454,2,5.454,2,2.380,1,0.000,0,0.0000,5.45
2016/05/02,桃園市,中壢區,和平里,6800200-059,121.2524185,24.97946517,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,桃園市,大溪區,瑞源里,6800300-022,121.2596581,24.87356309,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,嘉義縣,太保市,太保里,1001001-001,120.3303173,23.46073541,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,雲林縣,四湖鄉,溪底村,1000918-003,120.2685068,23.64890304,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,雲林縣,四湖鄉,溪底村,1000918-003,120.2685068,23.64890304,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,雲林縣,四湖鄉,溪底村,1000918-003,120.2685068,23.64890304,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,楠梓區,仁昌里,6400400-034,120.2937092,22.72363996,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,三民區,本元里,6400500-012,120.3344485,22.65255106,2.475,1,2.475,1,7.692,3,19.306,3,0.0000,2.47
2016/05/02,高雄市,左營區,新上里,6400300-040,120.3082056,22.66206309,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,梓官區,梓平里,6402900-004,120.2603217,22.75559478,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,彰化縣,彰化市,萬壽里,1000701-016,120.536684,24.07802167,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,彰化縣,田尾鄉,仁里村,1000721-017,120.4977983,23.90536127,6.000,2,4.000,2,10.714,4,0.000,0,0.0000,6.00
2016/05/02,台中市,南屯區,三厝里,6600700-010,120.6359972,24.14645853,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台南市,南區,白雪里,6703300-012,120.1884785,22.96699172,1.960,1,1.960,1,4.347,2,39.215,4,0.0000,1.96
2016/05/02,台南市,中西區,福安里,6703700-008,120.1993814,22.99138615,2.000,1,2.000,1,6.250,3,2.000,1,0.0000,2.00
2016/05/02,台南市,永康區,復華里,6703100-037,120.2455547,23.01162732,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台南市,北區,興南里,6703400-030,120.2086473,23.00411557,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,大社區,神農里,6401600-007,120.3657254,22.72904354,3.000,1,3.000,1,21.428,6,19.000,3,0.0000,3.00
2016/05/02,高雄市,大社區,神農里,6401600-007,120.3657254,22.72904354,3.000,1,3.000,1,21.428,6,19.000,3,0.0000,3.00
2016/05/02,台南市,永康區,蔦松里,6703100-008,120.2567755,23.04652477,2.000,1,2.000,1,3.571,2,16.000,3,0.0000,2.00
2016/05/02,台東縣,大武鄉,尚武村,1001410-004,120.8793744,22.33993925,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,桃園市,新屋區,赤欄里,6801100-014,121.0728441,24.98391757,2.000,1,2.000,1,9.090,3,2.000,1,0.0000,2.00
2016/05/02,屏東縣,竹田鄉,竹田村,1001314-001,120.548199,22.58107778,3.000,1,3.000,1,6.250,3,0.000,0,0.0000,3.00
2016/05/02,桃園市,新屋區,社子里,6801100-008,121.0779754,24.96063498,2.000,1,2.000,1,20.000,5,2.000,1,0.0000,2.00
2016/05/02,新竹縣,新埔鎮,照門里,1000403-016,121.1116706,24.85766097,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,桃園市,中壢區,興仁里,6800200-020,121.2627368,24.96917083,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,台北市,信義區,富台里,6300200-019,121.5738466,25.04154377,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,左營區,果惠里,6400300-037,120.2879235,22.67019082,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2016/05/02,高雄市,三民區,達明里,6400500-049,120.3052455,22.64456165,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
